Matrícula,Titulado em
70734,Vara de Juizado Especial Civel e Criminal da Comarca de Redencao
70718,Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Maraba
204137,Vara Distrital de Monte Dourado da Comarca de Almeirim
39190,Vara do Juizado Especial Civel de Icoaraci
37990,Vara do Juizado Especial Civel de Santarem - FIT
82902,Vara do Juizado Especial Civel e Criminal de Castanhal
48690,Vara do Juizado Especial Civel e Criminal de Paragominas
167282,Vara do Juizado Especial Civel e Criminal de Parauapebas
30180,Vara do Juizado Especial Criminal de Icoaraci
24031,Vara do Juizado Especial Criminal do Meio Ambiente
39200,Vara do Juizado Especial da Comarca de Santa Izabel do Para
82911,Vara Unica da Comarca de Acara
83097,Vara Unica da Comarca de Afua
190471,Vara Unica da Comarca de Alenquer
197131,Vara Unica da Comarca de Anajas
91090,Vara Unica da Comarca de Augusto Correa
190128,Vara Unica da Comarca de Aurora do Para
197157,Vara Unica da Comarca de Baiao
83089,Vara Unica da Comarca de Bonito
154440,Vara Unica da Comarca de Breu Branco
190411,Vara Unica da Comarca de Bujaru
149454,Vara Unica da Comarca de Cachoeira do Arari
190292,Vara Unica da Comarca de Capitao Poco
151106,Vara Unica da Comarca de Chaves
116939,Vara Unica da Comarca de Concordia do Para
149276,Vara Unica da Comarca de Curionopolis
158542,Vara Unica da Comarca de Curralinho
190055,Vara Unica da Comarca de Eldorado dos Carajas
116602,Vara Unica da Comarca de Faro
158593,Vara Unica da Comarca de Garrafao do Norte
190535,Vara Unica da Comarca de Goianesia do Para
190268,Vara Unica da Comarca de Gurupa
38930,Vara Unica da Comarca de Igarape-Acu
136557,Vara Unica da Comarca de Igarape-Miri
48658,Vara Unica da Comarca de Inhangapi
190179,Vara Unica da Comarca de Ipixuna do Para
149292,Vara Unica da Comarca de Irituia
190501,Vara Unica da Comarca de Itupiranga
204188,Vara Unica da Comarca de Jacareacanga
136611,Vara Unica da Comarca de Jacunda
158585,Vara Unica da Comarca de Juruti
154423,Vara Unica da Comarca de Limoeiro do Ajuru
149179,Vara Unica da Comarca de Mae do Rio
149390,Vara Unica da Comarca de Maracana
82783,Vara Unica da Comarca de Marapanim
197114,Vara Unica da Comarca de Melgaco
39310,Vara Unica da Comarca de Moju
39300,Vara Unica da Comarca de Monte Alegre
34533,Vara Unica da Comarca de Muana
39284,Vara Unica da Comarca de Nova Timboteua
197203,Vara Unica da Comarca de Novo Repartimento
113671,Vara Unica da Comarca de Obidos
151084,Vara Unica da Comarca de Oeiras do Para
48674,Vara Unica da Comarca de Ourem
190152,Vara Unica da Comarca de Pacaja
151114,Vara Unica da Comarca de Peixe-Boi
82694,Vara Unica da Comarca de Ponta de Pedras
190489,Vara Unica da Comarca de Portel
204048,Vara Unica da Comarca de Porto de Moz
158551,Vara Unica da Comarca de Prainha
149080,Vara Unica da Comarca de Primavera
37160,Vara Unica da Comarca de Rio Maria
150258,Vara Unica da Comarca de Ruropolis
37840,Vara Unica da Comarca de Salinopolis
153826,Vara Unica da Comarca de Salvaterra
161152,Vara Unica da Comarca de Santa Luzia do Para
197041,Vara Unica da Comarca de Santa Maria do Para
151165,Vara Unica da Comarca de Santana do Araguaia
153184,Vara Unica da Comarca de Santarem Novo
82597,Vara Unica da Comarca de Santo Antonio do Taua
151092,Vara Unica da Comarca de Sao Caetano de Odivelas
149357,Vara Unica da Comarca de Sao Domingos do Capim
190063,Vara Unica da Comarca de Sao Francisco do Para
82708,Vara Unica da Comarca de Sao Geraldo do Araguaia
37200,Vara Unica da Comarca de Sao Joao do Araguaia
113336,Vara Unica da Comarca de Sao Miguel do Guama
149012,Vara Unica da Comarca de Sao Sebastiao da Boa Vista
197050,Vara Unica da Comarca de Senador Jose Porfirio
149144,Vara Unica da Comarca de Soure
149284,Vara Unica da Comarca de Terra Santa
197378,Vara Unica da Comarca de Tome-Acu
190322,Vara Unica da Comarca de Tucuma
198421,Vara Unica da Comarca de Ulianopolis
197173,Vara Unica da Comarca de Uruara
55735,Vara Unica da Comarca de Vigia
39098,Vara Unica da Comarca de Viseu
204145,Vara Unica da Comarca de Vitoria do Xingu
