Matrícula,Atuando em,Movimentação
70726,Comite Gestor Local da Primeira Infancia,
82678,Comite Gestor Local da Primeira Infancia,
82821,Comite Gestor Local da Primeira Infancia,
30228,Comite Gestor Local de Atencao Integral a Saude de Magistrados e Servidores,
639,Comite Gestor Local de Atencao Integral a Saude de Magistrados e Servidores,
24520,Comite Interistitucional de Resolucao Adm de Demandas da Saude - Comite Estadual de Saude,
30139,Comite Interistitucional de Resolucao Adm de Demandas da Saude - Comite Estadual de Saude,
7986,Comite Interistitucional de Resolucao Adm de Demandas da Saude - Comite Estadual de Saude,
132,Comite Orcamentario do Segundo Grau,
1341,Comite Orcamentario do Segundo Grau,
949,Comite Orcamentario do Segundo Grau,
197025,Comite Unico Gestor Regional e Orcamentario do 1º Grau,
37150,Comite Unico Gestor Regional e Orcamentario do 1º Grau,
37180,Comite Unico Gestor Regional e Orcamentario do 1º Grau,
5266,Comite Unico Gestor Regional e Orcamentario do 1º Grau,
60178,Comite Unico Gestor Regional e Orcamentario do 1º Grau,
6700,Comite Unico Gestor Regional e Orcamentario do 1º Grau,
949,Comite Unico Gestor Regional e Orcamentario do 2º Grau,
639,Conselho Superior da Escola Judicial do TJPA,
647,Conselho Superior da Escola Judicial do TJPA,
744,Conselho Superior da Escola Judicial do TJPA,
9407,Conselho Superior da Escola Judicial do TJPA,
140058,Coordenacao de Acompanhamento de Metas CNJ,
132,Coordenadoria dos Juizados Especiais,Respondendo
5266,Coordenadoria dos Juizados Especiais,DESIGNADO
15300,Coordenadoria Estadual da Infancia e Juventude,
30155,Coordenadoria Estadual das Mulheres em Situacao de Violencia Domestica e Familiar,
5363,Coordenadoria Estadual das Mulheres em Situacao de Violencia Domestica e Familiar,
9407,Diretoria Geral da Escola Judicial do Para,Respondendo
116939,Forum da Comarca de Acara,Substituindo
151106,Forum da Comarca de Afua,Substituindo
204137,Forum da Comarca de Almeirim,Substituindo
197025,Forum da Comarca de Altamira,Substituindo
190047,Forum da Comarca de Baiao,Substituindo
151114,Forum da Comarca de Bonito,Substituindo
190535,Forum da Comarca de Breu Branco,Substituindo
197378,Forum da Comarca de Bujaru,Substituindo
204102,Forum da Comarca de Limoeiro do Ajuru,Substituindo
86134,Forum da Comarca de Maraba,Substituindo
136557,Forum da Comarca de Moju,Substituindo
190292,Forum da Comarca de Ourem,Substituindo
204056,Forum da Comarca de Ourilandia do Norte,Substituindo
197203,Forum da Comarca de Pacaja,Substituindo
149314,Forum da Comarca de Paragominas,Substituindo
113361,Forum da Comarca de Parauapebas,Substituindo
167321,Forum da Comarca de Santa Izabel do Para,Substituindo
204111,Forum da Comarca de Sao Felix do Xingu,Substituindo
82708,Forum da Comarca de Sao Joao do Araguaia,Substituindo
149292,Forum da Comarca de Sao Miguel do Guama,Substituindo
153826,Forum da Comarca de Soure,Substituindo
148946,Forum da Comarca de Tailandia,Substituindo
190551,Forum da Comarca de Ulianopolis,Substituindo
204145,Forum da Comarca de Uruara,Substituindo
91090,Forum da Comarca de Viseu,Substituindo
204153,Forum da Comarca de Xinguara,Substituindo
30155,Forum Distrital de Icoaraci,Substituindo
233307,Gabinete da Desa. Anete Marques Penna de Carvalho,Titular
24503,Gabinete da Desa. Antonieta Maria Ferrari Mileo,Titular
9407,Gabinete da Desa. Celia Regina de Lima Pinheiro,Titular
1520,Gabinete da Desa. Eva do Amaral Coelho,Titular
1929,Gabinete da Desa. Gleide Pereira de Moura,Titular
8060,Gabinete da Desa. Kedima Pacifico Lyra,Titular
5363,Gabinete da Desa. Luana de Nazareth Amaral Henrique Santalices,Titular
39360,Gabinete da Desa. Luzia Nadja Guimaraes Nascimento,Titular
639,Gabinete da Desa. Margui Gaspar Bittencourt,Titular
1341,Gabinete da Desa. Rosi Maria Gomes de Farias,Titular
1449,Gabinete da Desa. Rosileide Maria da Costa Cunha,Titular
24333,Gabinete da Desa. Sarah Castelo Branco Monteiro Rodrigues,Titular
49000,Gabinete da Desa. Vania Lucia Carvalho da Silveira,Titular
41050,Gabinete da Desa. Vania Valente do Couto Fortes Bitar Cunha,Titular
38070,Gabinete da Juiza Ana Angelica Abdulmassih Olegario da 2ª TRPJE,Respondendo
25208,Gabinete da Juiza Ana Patricia Nunes Alves Fernandes da 1ª TRPJE,Titular
6106,Gabinete da Juiza Marcia Cristina Leao Murrieta da 3ª TRPJE,Titular
39220,Gabinete da Juiza Maria das Gracas Alfaia da Fonseca Saldanha da 2ª TRPJE,Substituindo
4596,Gabinete da Juiza Silvia Mara Bentes de Souza Costa da 1ª TRPJE,Titular
24538,Gabinete da Juiza Tania Batistello da 3ª TRPJE,Titular
6700,Gabinete da Presidencia,DESIGNADO
744,Gabinete da Presidencia,DESIGNADO
7536,Gabinete da Presidencia,DESIGNADO
140058,Gabinete da Vice-Presidencia,DESIGNADO
37150,Gabinete da Vice-Presidencia,
214353,Gabinete do Des. Alex Pinheiro Centeno,Titular
2410,Gabinete do Des. Amilcar Roberto Bezerra Guimaraes,Titular
232866,Gabinete do Des. Cesar Bechara Nader Mattar Junior,Titular
329,Gabinete do Des. Constantino Augusto Guerreiro,Titular
2720,Gabinete do Des. Jose Maria Teixeira do Rosario,Titular
15300,Gabinete do Des. Jose Roberto Pinheiro Maia Bezerra Junior,Titular
4863,Gabinete do Des. Jose Torquato Araujo de Alencar,Titular
67067,Gabinete do Des. Leonam Gondim da Cruz Junior,Titular
132,Gabinete do Des. Leonardo de Noronha Tavares,Titular
531,Gabinete do Des. Mairton Marques Carneiro,Titular
4626,Gabinete do Des. Pedro Pinheiro Sotero,Titular
647,Gabinete do Des. Ricardo Ferreira Nunes,Titular
949,Gabinete do Des. Romulo Jose Ferreira Nunes,Titular
1740,Gabinete do Des. Sergio Augusto Andrade de Lima,Titular
20121,Gabinete do Juiz Convocado  Edmar Silva Pereia,Titular
8176,Gabinete do Juiz Lucio Barreto Guerreiro da 1ª TRPJE,Titular
24295,Gabinete do Juiz Max Ney do Rosario Cabral da 3ª TRPJE,Titular
37280,Gabinete do Juiz Miguel Lima dos Reis Junior da TRPJE da Fazenda Publica,Substituindo
1830,Gabinete do(a) Corregedor(a) Geral de Justica,DESIGNADO
30139,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
30252,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
36840,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
60224,Gabinete dos(as) Juizes(as) Corregedores(as),
7919,Gabinete dos(as) Juizes(as) Corregedores(as),DESIGNADO
136573,GE Analise Definicao e Impl de Solucoes de IA e Automacao p Trazer Resultados Exponenciais ao TJPA,
15300,Grupo de Monitoramento e Fiscalização do Sistema Carcerario,
